,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.3256523609161377,0.00934921913193948,0.4140181064605713,0.01630048913554455,6,1,uniform,"{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.7272727272727272,0.6842105263157895,0.5789473684210525,0.7441860465116279,0.6666666666666666,0.6802566670375727,0.057898826550143216,32
21,0.34998378753662107,0.04678310832023235,0.28451337814331057,0.004740381580678666,6,1,distance,"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.7843137254901961,0.7111111111111111,0.7272727272727272,0.88,0.8333333333333333,0.7872061794414735,0.0634495892231581,22
22,0.30036702156066897,0.006729355470129401,0.2844701766967773,0.010934872874616083,6,2,uniform,"{'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.7906976744186047,0.6486486486486487,0.6153846153846153,0.8095238095238095,0.6829268292682927,0.7094363154487943,0.07728457868081913,30
23,0.30110774040222166,0.015569359157474845,0.16261687278747558,0.00992209001513799,6,2,distance,"{'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.816326530612245,0.8749999999999999,0.8444444444444444,0.8695652173913043,0.8333333333333333,0.8477339051562653,0.022021200322787603,7
24,0.3056314945220947,0.006609085743109957,0.40670294761657716,0.016535045970841072,7,1,uniform,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.7142857142857142,0.6341463414634146,0.5714285714285713,0.7441860465116279,0.6818181818181819,0.669172971101502,0.06099648331729381,34
25,0.3070662498474121,0.019134736498010802,0.3054827690124512,0.016637875628694388,7,1,distance,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.7843137254901961,0.7272727272727272,0.7272727272727272,0.8571428571428572,0.8333333333333333,0.7858670741023681,0.05329594893819135,23
26,0.3684871196746826,0.024143391371871967,0.3854846954345703,0.0614995630327846,7,2,uniform,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.7272727272727272,0.6829268292682927,0.6818181818181819,0.8372093023255813,0.7111111111111111,0.7280676303591788,0.057230696988630175,29
27,0.37628931999206544,0.020912657588949488,0.20886526107788086,0.004306723876661921,7,2,distance,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.8333333333333333,0.8510638297872342,0.8444444444444444,0.8695652173913043,0.8085106382978724,0.8413834926508377,0.020212459428050722,9
28,0.3712912082672119,0.009787616005931183,0.4896576404571533,0.012688768680751377,8,1,uniform,"{'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.6923076923076923,0.6153846153846153,0.5,0.7619047619047621,0.6666666666666666,0.6472527472527472,0.08746528706512796,36
29,0.3936716079711914,0.052997486925838326,0.38332161903381345,0.026007936772023614,8,1,distance,"{'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.816326530612245,0.7142857142857143,0.6666666666666666,0.8571428571428572,0.8333333333333333,0.7775510204081633,0.0738212787278941,24
30,0.39357624053955076,0.017962149127184173,0.3652812957763672,0.016171648745138073,8,2,uniform,"{'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.7083333333333334,0.6153846153846153,0.5945945945945945,0.7499999999999999,0.6829268292682927,0.6702478745161672,0.057801480174018295,33
